Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00000.png;30;29;6;6;25;24;26
00000_00001.png;30;29;5;5;25;24;26
00000_00002.png;30;31;5;6;25;25;26
00000_00003.png;32;31;6;5;27;26;26
00000_00004.png;32;32;6;6;27;27;26
00000_00005.png;32;33;6;6;27;27;26
00000_00006.png;33;32;6;5;28;27;26
00000_00007.png;34;34;6;6;29;29;26
00000_00008.png;34;35;5;5;29;29;26
00000_00009.png;36;37;5;6;31;32;26
00000_00010.png;37;36;6;5;32;31;26
00000_00011.png;38;38;6;6;33;33;26
00000_00012.png;39;40;6;6;34;35;26
00000_00013.png;40;40;6;5;35;35;26
00000_00014.png;40;43;5;6;35;38;26
00000_00015.png;44;46;6;6;39;41;26
00000_00016.png;45;47;5;5;40;42;26
00000_00017.png;51;50;6;6;46;45;26
00000_00018.png;55;52;6;5;50;46;26
00000_00019.png;58;56;5;6;52;50;26
00000_00020.png;60;58;5;6;55;53;26
00000_00021.png;65;61;6;6;60;56;26
00000_00022.png;73;64;7;5;67;59;26
00000_00023.png;77;71;7;7;71;65;26
00000_00024.png;87;79;8;7;80;72;26
00000_00025.png;96;88;9;7;88;80;26
00000_00026.png;106;99;9;9;97;91;26
00000_00027.png;132;121;11;10;121;111;26
00000_00028.png;166;151;15;13;151;138;26
00000_00029.png;208;191;18;17;191;175;26
00001_00000.png;41;38;6;5;36;33;26
00001_00001.png;40;38;6;5;35;33;26
00001_00002.png;41;39;6;6;36;34;26
00001_00003.png;42;40;6;6;37;35;26
00001_00004.png;42;39;6;5;37;34;26
00001_00005.png;41;40;5;5;36;35;26
00001_00006.png;43;40;5;5;38;35;26
00001_00007.png;44;41;5;5;39;36;26
00001_00008.png;47;44;6;5;41;38;26
00001_00009.png;46;45;5;6;41;40;26
00001_00010.png;47;47;5;6;42;41;26
00001_00011.png;49;46;5;5;43;41;26
00001_00012.png;49;48;5;6;44;43;26
00001_00013.png;51;48;6;5;45;42;26
00001_00014.png;52;49;6;5;47;44;26
00001_00015.png;53;50;6;5;48;45;26
00001_00016.png;54;53;5;6;48;47;26
00001_00017.png;56;53;6;5;51;48;26
00001_00018.png;58;56;5;6;52;51;26
00001_00019.png;60;59;6;6;55;53;26
00001_00020.png;62;60;6;6;57;55;26
00001_00021.png;64;63;6;6;59;58;26
00001_00022.png;69;65;6;6;63;60;26
00001_00023.png;73;71;6;7;67;65;26
00001_00024.png;77;74;7;7;71;68;26
00001_00025.png;83;80;7;8;76;73;26
00001_00026.png;88;86;8;7;81;79;26
00001_00027.png;95;96;8;9;87;88;26
00001_00028.png;104;104;9;9;95;95;26
00001_00029.png;111;117;9;10;102;107;26
00002_00000.png;33;31;6;6;28;26;26
00002_00001.png;33;31;6;6;28;26;26
00002_00002.png;33;30;6;6;28;25;26
00002_00003.png;34;30;6;6;29;25;26
00002_00004.png;32;29;5;5;27;24;26
00002_00005.png;32;30;5;5;27;25;26
00002_00006.png;34;31;6;5;29;26;26
00002_00007.png;35;32;6;6;30;27;26
00002_00008.png;37;33;6;6;32;28;26
00002_00009.png;36;33;5;6;31;28;26
00002_00010.png;37;34;5;6;32;29;26
00002_00011.png;36;34;5;6;31;29;26
00002_00012.png;37;33;6;5;32;28;26
00002_00013.png;37;34;5;6;32;29;26
00002_00014.png;37;33;6;5;32;28;26
00002_00015.png;37;35;6;5;32;30;26
00002_00016.png;37;37;5;6;32;32;26
00002_00017.png;40;36;6;5;35;31;26
00002_00018.png;40;37;6;6;35;32;26
00002_00019.png;40;38;6;6;35;33;26
00002_00020.png;41;39;6;6;36;34;26
00002_00021.png;41;40;5;6;36;35;26
00002_00022.png;43;39;5;5;38;34;26
00002_00023.png;45;40;6;5;40;35;26
00002_00024.png;45;43;5;6;40;38;26
00002_00025.png;48;43;6;6;43;38;26
00002_00026.png;49;44;6;6;44;39;26
00002_00027.png;48;43;5;5;43;38;26
00002_00028.png;50;44;6;6;45;39;26
00002_00029.png;52;46;6;5;47;41;26
00003_00000.png;29;27;5;5;24;22;26
00003_00001.png;33;28;6;5;28;23;26
00003_00002.png;33;29;5;5;27;24;26
00003_00003.png;33;28;5;5;28;23;26
00003_00004.png;33;30;5;5;28;24;26
00003_00005.png;34;32;6;6;29;26;26
00003_00006.png;34;33;5;6;29;28;26
00003_00007.png;35;33;6;6;30;28;26
00003_00008.png;36;33;6;5;31;28;26
00003_00009.png;37;36;6;6;32;31;26
00003_00010.png;38;37;5;6;33;32;26
00003_00011.png;39;38;5;6;34;33;26
00003_00012.png;42;40;5;6;37;35;26
00003_00013.png;44;44;5;6;39;39;26
00003_00014.png;48;45;6;5;43;40;26
00003_00015.png;48;46;6;6;43;41;26
00003_00016.png;50;47;6;5;45;42;26
00003_00017.png;52;51;5;6;46;45;26
00003_00018.png;55;54;6;6;50;48;26
00003_00019.png;59;56;6;5;54;51;26
00003_00020.png;62;60;5;6;57;54;26
00003_00021.png;68;63;6;6;62;58;26
00003_00022.png;73;69;7;7;67;63;26
00003_00023.png;78;74;7;7;71;68;26
00003_00024.png;87;84;8;8;79;77;26
00003_00025.png;97;94;8;8;89;86;26
00003_00026.png;109;106;9;9;99;97;26
00003_00027.png;122;120;10;11;112;110;26
00003_00028.png;143;136;12;12;131;125;26
00003_00029.png;167;163;14;14;153;149;26
00004_00000.png;35;31;6;5;30;26;26
00004_00001.png;37;32;6;5;32;27;26
00004_00002.png;38;34;6;6;33;29;26
00004_00003.png;39;35;5;6;34;30;26
00004_00004.png;39;34;5;5;34;29;26
00004_00005.png;39;34;5;5;34;29;26
00004_00006.png;39;35;5;5;34;30;26
00004_00007.png;41;37;5;5;36;32;26
00004_00008.png;43;38;6;5;38;33;26
00004_00009.png;44;38;6;5;39;33;26
00004_00010.png;45;39;6;5;40;34;26
00004_00011.png;46;41;6;6;41;36;26
00004_00012.png;47;42;5;5;42;37;26
00004_00013.png;48;43;6;6;43;38;26
00004_00014.png;48;43;5;5;43;38;26
00004_00015.png;50;45;5;5;45;40;26
00004_00016.png;53;49;5;6;48;44;26
00004_00017.png;55;51;6;6;50;46;26
00004_00018.png;57;53;5;6;52;48;26
00004_00019.png;62;57;5;5;57;52;26
00004_00020.png;63;59;5;5;58;54;26
00004_00021.png;73;63;6;5;67;58;26
00004_00022.png;74;68;6;7;68;62;26
00004_00023.png;76;69;7;7;70;63;26
00004_00024.png;81;73;7;7;74;67;26
00004_00025.png;94;85;8;7;86;78;26
00004_00026.png;100;87;8;7;92;80;26
00004_00027.png;115;96;10;8;105;88;26
00004_00028.png;128;112;12;10;117;103;26
00004_00029.png;143;119;13;11;131;109;26
00005_00000.png;36;35;5;6;31;30;26
00005_00001.png;37;35;5;6;32;30;26
00005_00002.png;38;34;6;6;33;29;26
00005_00003.png;37;35;5;6;32;30;26
00005_00004.png;39;36;6;6;34;31;26
00005_00005.png;39;36;6;5;34;31;26
00005_00006.png;40;37;5;5;35;32;26
00005_00007.png;40;36;6;5;35;31;26
00005_00008.png;40;38;5;6;35;33;26
00005_00009.png;42;38;6;5;37;33;26
00005_00010.png;42;38;6;5;37;33;26
00005_00011.png;43;39;6;5;38;34;26
00005_00012.png;44;40;6;6;39;35;26
00005_00013.png;43;40;5;5;38;35;26
00005_00014.png;45;40;5;5;40;35;26
00005_00015.png;47;42;6;6;42;37;26
00005_00016.png;48;42;6;5;43;37;26
00005_00017.png;48;43;5;5;43;38;26
00005_00018.png;50;45;5;6;45;40;26
00005_00019.png;50;44;5;5;45;39;26
00005_00020.png;51;45;5;5;46;40;26
00005_00021.png;55;49;6;6;50;44;26
00005_00022.png;55;50;5;5;50;45;26
00005_00023.png;57;51;6;5;52;46;26
00005_00024.png;60;52;6;5;55;47;26
00005_00025.png;61;54;6;5;56;49;26
00005_00026.png;63;56;5;5;58;51;26
00005_00027.png;63;56;5;6;58;51;26
00005_00028.png;69;60;6;6;63;55;26
00005_00029.png;72;62;6;5;66;57;26
00006_00000.png;31;30;5;6;26;25;26
00006_00001.png;31;30;5;6;26;25;26
00006_00002.png;32;30;5;6;26;25;26
00006_00003.png;33;30;6;6;28;25;26
00006_00004.png;33;31;6;6;28;26;26
00006_00005.png;34;32;5;6;29;27;26
00006_00006.png;34;32;5;6;29;26;26
00006_00007.png;34;30;5;5;29;25;26
00006_00008.png;35;33;5;6;30;28;26
00006_00009.png;36;33;5;5;31;28;26
00006_00010.png;37;35;5;6;32;30;26
00006_00011.png;38;36;5;6;33;31;26
00006_00012.png;39;35;5;5;34;30;26
00006_00013.png;40;37;5;5;34;32;26
00006_00014.png;42;40;6;6;37;35;26
00006_00015.png;44;42;5;6;38;36;26
00006_00016.png;45;42;6;5;40;36;26
00006_00017.png;46;44;5;5;41;38;26
00006_00018.png;49;46;6;6;44;41;26
00006_00019.png;51;47;6;5;46;42;26
00006_00020.png;54;50;6;6;49;45;26
00006_00021.png;58;54;6;6;53;49;26
00006_00022.png;61;55;6;5;56;50;26
00006_00023.png;62;55;5;5;57;50;26
00006_00024.png;64;60;6;6;59;55;26
00006_00025.png;67;58;6;5;61;53;26
00006_00026.png;80;72;8;7;73;66;26
00006_00027.png;87;81;8;7;80;74;26
00006_00028.png;94;87;8;7;86;80;26
00006_00029.png;106;100;10;9;97;92;26
00007_00000.png;32;29;6;6;27;24;26
00007_00001.png;33;29;6;6;27;24;26
00007_00002.png;31;28;5;5;26;23;26
00007_00003.png;32;29;5;5;27;23;26
00007_00004.png;32;29;5;6;27;24;26
00007_00005.png;33;29;6;5;28;24;26
00007_00006.png;34;29;6;5;28;24;26
00007_00007.png;33;31;5;6;28;26;26
00007_00008.png;33;32;5;6;28;27;26
00007_00009.png;33;32;5;6;28;27;26
00007_00010.png;35;32;6;5;30;27;26
00007_00011.png;37;33;6;5;32;28;26
00007_00012.png;38;34;6;5;32;29;26
00007_00013.png;37;35;5;6;32;30;26
00007_00014.png;39;36;6;6;34;31;26
00007_00015.png;39;36;5;6;33;31;26
00007_00016.png;39;36;5;5;34;31;26
00007_00017.png;42;38;6;6;36;33;26
00007_00018.png;42;39;6;6;37;34;26
00007_00019.png;42;39;6;6;37;34;26
00007_00020.png;45;41;6;5;40;36;26
00007_00021.png;46;42;6;5;41;37;26
00007_00022.png;46;43;5;6;41;38;26
00007_00023.png;48;44;6;5;43;39;26
00007_00024.png;48;46;6;5;43;40;26
00007_00025.png;50;47;6;5;45;42;26
00007_00026.png;54;51;6;6;48;45;26
00007_00027.png;55;51;6;5;50;46;26
00007_00028.png;57;53;6;6;51;48;26
00007_00029.png;61;58;6;6;56;53;26
00008_00000.png;32;29;5;5;27;24;26
00008_00001.png;33;29;5;5;28;24;26
00008_00002.png;34;31;5;6;29;26;26
00008_00003.png;35;31;5;5;30;26;26
00008_00004.png;37;32;6;5;32;27;26
00008_00005.png;37;34;6;6;32;29;26
00008_00006.png;37;34;6;6;32;28;26
00008_00007.png;39;34;6;5;33;29;26
00008_00008.png;38;35;5;6;33;30;26
00008_00009.png;39;35;6;5;34;30;26
00008_00010.png;39;37;5;6;34;32;26
00008_00011.png;42;39;6;6;37;34;26
00008_00012.png;42;39;5;5;37;33;26
00008_00013.png;44;41;5;5;39;35;26
00008_00014.png;46;42;6;6;41;37;26
00008_00015.png;46;42;6;5;41;37;26
00008_00016.png;49;43;6;5;44;38;26
00008_00017.png;50;46;5;6;45;41;26
00008_00018.png;52;47;6;5;47;42;26
00008_00019.png;53;51;5;6;48;46;26
00008_00020.png;57;52;5;6;52;47;26
00008_00021.png;59;54;5;6;54;49;26
00008_00022.png;64;57;6;5;59;52;26
00008_00023.png;68;58;7;5;62;53;26
00008_00024.png;75;65;7;6;69;60;26
00008_00025.png;75;67;6;6;69;61;26
00008_00026.png;84;76;7;7;77;70;26
00008_00027.png;88;83;7;7;81;76;26
00008_00028.png;100;94;9;9;92;86;26
00008_00029.png;108;104;9;10;99;95;26
00009_00000.png;29;28;5;6;24;23;26
00009_00001.png;31;27;6;5;26;22;26
00009_00002.png;31;29;6;6;26;24;26
00009_00003.png;31;29;5;6;26;24;26
00009_00004.png;32;30;6;6;27;25;26
00009_00005.png;34;30;6;5;28;25;26
00009_00006.png;35;32;6;6;29;27;26
00009_00007.png;35;33;6;6;30;28;26
00009_00008.png;35;34;6;6;30;28;26
00009_00009.png;36;35;6;6;30;29;26
00009_00010.png;36;35;5;5;31;30;26
00009_00011.png;37;36;6;6;32;31;26
00009_00012.png;38;37;5;6;32;32;26
00009_00013.png;40;38;5;6;34;33;26
00009_00014.png;42;38;6;5;37;33;26
00009_00015.png;43;39;6;5;37;33;26
00009_00016.png;43;41;6;6;38;35;26
00009_00017.png;45;43;5;6;39;37;26
00009_00018.png;47;43;6;5;42;38;26
00009_00019.png;50;46;6;5;45;40;26
00009_00020.png;51;48;5;5;46;42;26
00009_00021.png;55;49;5;5;49;43;26
00009_00022.png;57;53;5;6;52;47;26
00009_00023.png;62;56;6;6;57;50;26
00009_00024.png;68;59;6;6;61;54;26
00009_00025.png;73;65;6;6;67;60;26
00009_00026.png;81;73;7;7;74;67;26
00009_00027.png;88;82;7;8;81;75;26
00009_00028.png;98;92;8;9;90;84;26
00009_00029.png;110;105;9;10;101;96;26
00010_00000.png;31;29;6;6;26;24;26
00010_00001.png;31;29;6;6;26;24;26
00010_00002.png;31;29;6;5;26;23;26
00010_00003.png;32;30;6;6;27;25;26
00010_00004.png;33;31;6;5;28;25;26
00010_00005.png;34;31;6;5;29;26;26
00010_00006.png;35;31;6;5;29;26;26
00010_00007.png;35;32;5;5;29;26;26
00010_00008.png;35;32;5;5;30;27;26
00010_00009.png;36;33;5;5;30;28;26
00010_00010.png;36;34;5;5;31;29;26
00010_00011.png;36;34;5;5;31;29;26
00010_00012.png;37;36;5;6;32;31;26
00010_00013.png;39;36;6;5;34;31;26
00010_00014.png;38;37;5;6;33;32;26
00010_00015.png;39;37;5;5;34;32;26
00010_00016.png;40;39;5;6;34;33;26
00010_00017.png;43;39;6;5;37;33;26
00010_00018.png;43;40;6;6;38;35;26
00010_00019.png;45;41;5;6;39;36;26
00010_00020.png;45;42;5;6;40;37;26
00010_00021.png;47;44;5;6;42;39;26
00010_00022.png;50;45;6;5;45;39;26
00010_00023.png;52;46;6;6;47;41;26
00010_00024.png;55;49;6;6;50;44;26
00010_00025.png;56;51;5;6;51;46;26
00010_00026.png;58;51;6;5;53;46;26
00010_00027.png;60;55;5;6;55;50;26
00010_00028.png;63;57;6;6;58;52;26
00010_00029.png;71;62;7;6;65;57;26
00011_00000.png;39;37;5;5;34;32;26
00011_00001.png;40;38;6;5;35;33;26
00011_00002.png;41;41;6;6;36;35;26
00011_00003.png;42;39;6;5;37;34;26
00011_00004.png;44;40;5;5;39;35;26
00011_00005.png;45;40;6;5;40;35;26
00011_00006.png;46;41;6;5;41;36;26
00011_00007.png;46;44;5;6;41;39;26
00011_00008.png;49;45;6;6;43;40;26
00011_00009.png;50;46;5;5;45;41;26
00011_00010.png;52;48;6;6;47;43;26
00011_00011.png;53;47;6;5;48;42;26
00011_00012.png;54;52;6;5;49;46;26
00011_00013.png;57;51;6;5;52;46;26
00011_00014.png;59;55;6;5;54;49;26
00011_00015.png;61;57;6;6;56;52;26
00011_00016.png;63;58;5;6;58;53;26
00011_00017.png;67;61;6;6;61;56;26
00011_00018.png;70;64;6;6;63;59;26
00011_00019.png;73;70;6;7;67;64;26
00011_00020.png;79;72;7;6;72;66;26
00011_00021.png;83;74;8;6;76;68;26
00011_00022.png;92;81;9;7;84;74;26
00011_00023.png;96;86;8;8;88;79;26
00011_00024.png;107;97;10;9;98;89;26
00011_00025.png;113;103;10;9;104;94;26
00011_00026.png;123;111;11;9;113;102;26
00011_00027.png;143;129;13;12;131;118;26
00011_00028.png;157;140;14;12;144;128;26
00011_00029.png;188;168;17;14;172;154;26
00012_00000.png;30;27;6;6;24;21;26
00012_00001.png;30;27;6;6;24;21;26
00012_00002.png;30;26;5;5;24;21;26
00012_00003.png;30;28;5;5;25;22;26
00012_00004.png;33;30;6;6;27;24;26
00012_00005.png;33;30;6;6;27;24;26
00012_00006.png;33;29;6;5;28;24;26
00012_00007.png;33;30;6;6;28;25;26
00012_00008.png;33;30;6;6;28;25;26
00012_00009.png;33;30;6;6;28;25;26
00012_00010.png;32;29;5;5;27;24;26
00012_00011.png;33;29;5;5;27;24;26
00012_00012.png;38;34;5;5;32;28;26
00012_00013.png;40;35;5;5;34;30;26
00012_00014.png;41;37;5;5;35;31;26
00012_00015.png;43;39;5;5;37;33;26
00012_00016.png;43;40;5;5;38;35;26
00012_00017.png;44;41;5;5;39;36;26
00012_00018.png;45;42;5;5;40;37;26
00012_00019.png;46;44;5;6;41;39;26
00012_00020.png;48;45;5;5;42;39;26
00012_00021.png;50;48;5;6;44;42;26
00012_00022.png;52;49;6;6;47;44;26
00012_00023.png;56;54;5;6;51;48;26
00012_00024.png;60;56;6;5;55;50;26
00012_00025.png;63;58;6;5;58;53;26
00012_00026.png;68;61;6;5;61;56;26
00012_00027.png;72;65;7;6;66;60;26
00012_00028.png;76;70;7;7;69;64;26
00012_00029.png;81;73;8;7;74;67;26
00013_00000.png;28;26;6;5;23;21;26
00013_00001.png;29;27;6;5;23;21;26
00013_00002.png;29;28;6;6;24;23;26
00013_00003.png;30;28;6;5;25;23;26
00013_00004.png;31;29;6;5;25;23;26
00013_00005.png;31;30;5;5;26;25;26
00013_00006.png;32;31;5;5;27;26;26
00013_00007.png;33;34;5;6;28;28;26
00013_00008.png;35;34;6;5;30;28;26
00013_00009.png;36;34;5;5;30;29;26
00013_00010.png;37;34;6;5;31;29;26
00013_00011.png;37;36;6;6;32;31;26
00013_00012.png;36;35;5;5;31;30;26
00013_00013.png;38;36;5;5;32;31;26
00013_00014.png;38;38;5;6;33;33;26
00013_00015.png;40;39;6;5;35;33;26
00013_00016.png;41;40;6;5;36;34;26
00013_00017.png;43;42;6;6;38;37;26
00013_00018.png;43;42;5;5;38;37;26
00013_00019.png;45;44;6;6;40;39;26
00013_00020.png;47;46;6;6;42;41;26
00013_00021.png;48;47;5;5;43;42;26
00013_00022.png;49;49;5;5;44;43;26
00013_00023.png;53;51;6;5;47;45;26
00013_00024.png;54;53;5;5;49;48;26
00013_00025.png;60;58;6;5;54;52;26
00013_00026.png;62;61;6;6;57;56;26
00013_00027.png;65;64;6;6;60;59;26
00013_00028.png;71;70;7;7;65;64;26
00013_00029.png;74;74;6;7;68;68;26
00014_00000.png;50;46;5;6;45;41;26
00014_00001.png;52;47;6;5;47;42;26
00014_00002.png;52;47;5;5;47;42;26
00014_00003.png;53;48;6;5;48;42;26
00014_00004.png;53;49;5;6;48;44;26
00014_00005.png;55;49;6;5;50;44;26
00014_00006.png;58;52;6;6;52;47;26
00014_00007.png;59;52;6;5;54;47;26
00014_00008.png;60;53;6;5;55;48;26
00014_00009.png;62;57;5;6;56;51;26
00014_00010.png;64;57;6;5;59;52;26
00014_00011.png;68;60;7;6;62;55;26
00014_00012.png;71;63;7;6;64;57;26
00014_00013.png;72;64;7;6;66;59;26
00014_00014.png;74;68;7;7;68;62;26
00014_00015.png;81;71;8;6;74;65;26
00014_00016.png;76;71;7;7;70;65;26
00014_00017.png;84;74;8;6;77;68;26
00014_00018.png;88;80;8;8;81;73;26
00014_00019.png;96;85;8;7;87;78;26
00014_00020.png;99;89;8;8;91;82;26
00014_00021.png;105;95;10;9;95;87;26
00014_00022.png;110;104;9;9;101;95;26
00014_00023.png;117;108;10;10;106;99;26
00014_00024.png;123;110;11;9;113;101;26
00014_00025.png;135;120;12;11;124;109;26
00014_00026.png;142;123;13;11;130;112;26
00014_00027.png;147;127;13;11;135;116;26
00014_00028.png;158;136;14;12;145;124;26
00014_00029.png;180;155;15;13;165;142;26
00015_00000.png;91;81;8;7;83;74;26
00015_00001.png;93;83;8;8;84;75;26
00015_00002.png;94;83;9;8;86;76;26
00015_00003.png;93;82;8;7;85;75;26
00015_00004.png;95;83;9;7;86;76;26
00015_00005.png;95;83;9;7;87;76;26
00015_00006.png;94;86;8;8;86;79;26
00015_00007.png;96;88;8;8;88;81;26
00015_00008.png;99;89;9;7;91;81;26
00015_00009.png;101;93;9;9;93;85;26
00015_00010.png;103;93;9;8;94;85;26
00015_00011.png;106;94;9;8;97;86;26
00015_00012.png;110;97;10;8;101;89;26
00015_00013.png;113;100;10;8;103;91;26
00015_00014.png;115;104;10;10;105;95;26
00015_00015.png;119;107;10;10;108;98;26
